.basedon cpu_r65c02_mnemos.txt
ASR   Arithmetic Shift Right
ASW   Arithmetic Shift Left Word
AUG   Augment
BSR   Branch to Subroutine
CLE   Clear Extend Disable Flag
CPZ   Compare Z Register
DEW   Decrement Word
DEZ   Decrement Z Register
INW   Increment Word
INZ   Increment Z Register
LDZ   Load Z Register
NEG   Negate
PHW   Push Word
PHZ   Push Z Register
PLZ   Pull Z Register
ROW   Rotate Word
RTN   Return from Kernal
SEE   Set Stack Extend Disable Flag
STZ   Store Z Register
TAB   Transfer Accumulator to Base Page Register
TAZ   Transfer Accumulator to Z
TBA   Transfer Base Page Register to Accumulator
TSY   Transfer Stack Pointer to Y
TYS   Transfer Y to Stack Pointer
TZA   Transfer Z to Accumulator

STP
WAI
