- C64 RAM Map (Jim Butterfield)
-
- Butterfield, Jim [compiled by]:
- COMMODORE 64 MEMORY MAP
- Classic Computer Magazine Archive COMPUTE! issue 29, October 1982, p.150
-
- https://www.atarimagazines.com/compute/issue29/394_1_COMMODORE_64_MEMORY_MAP.php
- https://www.atariarchives.org/mlb/appendix_b.php
- https://archive.org/details/1982-10-compute-magazine/page/n153/mode/2up
-
- Corrections (typos as well as content), translations etc.
- welcome at: https://github.com/mist64/c64ref
-
------------------------------------------------------------
-
# This plain text file is formatted so that it can be automatically
# parsed in order to create cross-references etc.
# * Lines starting with "-" is top-level information. The first line
#   is the title. Lines starting with "--" are separators.
# * Lines starting with "#" are internal comments.
# * Hex addresses start at column 0.
# * Symbols start at column 13.
# * The description starts at column 21.
# * All lines of the description until the first blank line are
#   combined into the heading.
# * A '.' character at the end of a heading line represents a hard
#   line break.
# * The remaining text is in MarkDown format.
# * All addresses are 4 digits and have a leading '$'.
# The encoding is UTF-8.

$0000        D6510   Chip directional register
$0001        R6510   Chip I/O; memory & tape control
$0003-$0004  ADRAY1  Float-Fixed vector
$0005-$0006  ADRAY2  Fixed-Float vector
$0007        CHARAC  Search character
$0008        ENDCHR  Scan-quotes flag
$0009        TRMPOS  TAB column save
$000A        VERCK   0 = LOAD, 1 = VERIFY
$000B        COUNT   Input buffer pointer/# subscrpt
$000C        DIMFLG  Default DIM flag
$000D        VALTYP  Type : FF = string, 00 = numeric
$000E        INTFLG  Type : 80 = integer, 00 = floating point
$000F        GARBFL  DATA scan/LIST quote/memry flag
$0010        SUBFLG  Subscript/FNx flag
$0011        INPFLG  0 = INPUT; $40 = GET; $98 = READ
$0012        TANSGN  ATN sign/Comparison eval flag
$0013        CHANNL  Current I/O prompt flag
$0014-$0015  LINNUM  Integer value
$0016        TEMPPT  Pointer : temporary strg stack
$0017-$0018  LASTPT  Last temp string vector
$0019-$0021  TEMPST  Stack for temporary strings
$0022-$0025  INDEX   Utility pointer area
$0026-$002A  RES     Product area for multiplication
$002B-$002C  TXTTAB  Pointer : Start-of-Basic
$002D-$002E  VARTAB  Pointer : Start-of-Variables
$002F-$0030  ARYTAB  Pointer : Start-of-Arrays
$0031-$0032  STREND  Pointer : End-of-Arrays
$0033-$0034  FRETOP  Pointer : String-storage(moving down)
$0035-$0036  FRESPC  Utility string pointer
$0037-$0038  MEMSIZ  Pointer : Limit-of-memory
$0039-$003A  CURLIN  Current Basic line number
$003B-$003C  OLDLIN  Previous Basic line number
$003D-$003E  OLDTXT  Pointer : Basic statement for CONT
$003F-$0040  DATLIN  Current DATA line number
$0041-$0042  DATPTR  Current DATA address
$0043-$0044  INPPTR  Input vector
$0045-$0046  VARNAM  Current variable name
$0047-$0048  VARPNT  Current variable address
$0049-$004A  FORPNT  Variable pointer for FOR/NEXT
$004B-$004C  VARTXT  Y-save; op-save; Basic pointer save
$004D        OPMASK  Comparison symbol accumulator
$004E-$0053          Misc work area, pointer, etc
$0054-$0056  JMPER   Jump vector for functions
$0057-$0060          Misc numeric work area
$0061        FACEXP  Accum#l : Exponent
$0062-$0065  FACHO   Accum#l : Mantissa
$0066        FACSGN  Accum#l : Sign
$0067        SGNFLG  Series evaluation constant pointer
$0068        BITS    Accum#l hi-order (over flow)
$0069-$006E  ARG     Accum#2 : Exponent, etc.
$006F        ARISGN  Sign comparison, Acc#l vs #2
$0070        FACOV   Accum#l lo-order (rounding)
$0071-$0072  FBUFPT  Cassette buff len/Series pointer
$0073-$008A  CHRGET  CHRGET subroutine; get Basic char
$007A-$007B  TXTPTR  Basic pointer (within subrtn)
$008B-$008F  RNDX    RND seed value
$0090        STATUS  Status word ST
$0091        STKEY   Keyswitch PIA : STOP and RVS flags
$0092        SVXT    Timing constant for tape
